timestamp,seq,byte5_raw,div2,minus18_div2,minus40
233395,10448,28,14.0,5.0,-12
234496,10530,10,5.0,-4.0,-30
248841,11210,10,5.0,-4.0,-30
251829,11422,0,0.0,-9.0,-40
255095,11506,10,5.0,-4.0,-30
257496,11559,10,5.0,-4.0,-30
257970,11621,10,5.0,-4.0,-30
379131,17600,10,5.0,-4.0,-30
383506,17881,10,5.0,-4.0,-30
384441,17964,10,5.0,-4.0,-30
385802,17995,33,16.5,7.5,-7
386451,18059,32,16.0,7.0,-8
389027,18165,10,5.0,-4.0,-30
390238,18248,33,16.5,7.5,-7
391206,18352,32,16.0,7.0,-8
396042,18601,33,16.5,7.5,-7
399005,18748,10,5.0,-4.0,-30
401417,18902,10,5.0,-4.0,-30
401417,18903,32,16.0,7.0,-8
