timestamp,seq,raw_value,div2,minus18_div2,minus40,full_data
234496,10530,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
248841,11210,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
255095,11506,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
257496,11559,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
257970,11621,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
379131,17600,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
383506,17881,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
384441,17964,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
389027,18165,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
399005,18748,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
401417,18902,8,4.0,-5.0,-32,00 00 00 00 08 0A 90 80
