timestamp,seq,raw_value,div2,minus18_div2,minus40,full_data
1600858,3519,8,4.0,-5.0,-32,00 00 00 08 A4 04 05 00
1690790,7894,8,4.0,-5.0,-32,00 00 00 08 A4 04 06 00
1696315,8143,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
1700787,8403,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
1769509,11963,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
287258,13085,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
301660,13899,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
1856430,16262,8,4.0,-5.0,-32,00 00 00 08 A4 04 05 00
1862363,16547,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
1872080,16966,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
1876384,17161,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
1885346,17681,8,4.0,-5.0,-32,00 00 00 08 A4 04 05 00
1995990,22327,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
2016735,23388,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
512385,24098,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
707519,33143,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
2236034,33494,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
2248332,33972,8,4.0,-5.0,-32,00 00 00 08 A4 00 21 42
2251331,34157,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
2256346,34424,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
2262341,34704,8,4.0,-5.0,-32,00 00 00 08 A4 04 02 00
1047655,49616,9,4.5,-4.5,-31,00 00 00 09 10 01 00 0E
1334426,56119,8,4.0,-5.0,-32,00 00 00 08 A4 04 03 00
1339880,56376,9,4.5,-4.5,-31,00 00 00 09 10 01 00 41
