timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771323109.037,unsolicited,0,0,,C0|00|08|00|00|00|07
1771323109.121,solicited,0,,0,
1771323109.597,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323109.598,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323109.659,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323109.829,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323109.863,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323110.612,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323110.645,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323110.881,solicited,0,,0,
1771323112.877,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323114.622,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323114.655,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323115.023,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323115.092,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323115.093,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323115.329,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323116.837,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323116.838,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323117.238,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323117.710,solicited,0,,0,
1771323128.745,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323129.149,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323129.183,solicited,0,,0,
1771323129.384,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323129.385,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323129.518,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323130.155,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323130.359,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323130.626,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323130.660,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323132.956,solicited,0,,0,
1771323133.122,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323134.270,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323134.303,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323146.301,solicited,0,,0,
1771323146.368,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323147.143,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323147.176,solicited,0,,0,
1771323149.006,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323149.037,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323149.490,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323151.244,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323151.749,solicited,0,,0,
1771323154.647,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323154.681,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323154.715,solicited,0,,0,
1771323154.913,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323154.948,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323154.948,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323154.981,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323154.981,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323164.725,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323164.993,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323164.994,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323165.063,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323165.096,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323166.609,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323166.643,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323167.225,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323167.254,solicited,0,,0,
1771323168.167,solicited,0,,0,
1771323168.503,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323170.329,solicited,0,,0,
1771323170.599,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771323170.632,unsolicited,0,0,0,C0|00|08|00|00|00|07
